2015-11-01T17:05:55.208948 127.0.0.1 [COMS4111-3] [] [] [] DELETE
2015-11-01T17:05:56.138174 127.0.0.1 [COMS4111-3] [] [] [] DELETE
2015-11-01T17:05:57.398071 127.0.0.1 [COMS4111-3] [] [] [] DELETE
2015-11-01T17:05:57.934191 127.0.0.1 [COMS4111-3] [] [] [] DELETE
2015-11-01T19:32:18.153684 127.0.0.1 [wvb2103] [COMS4111-2] [] [] DELETE
2015-11-01T19:32:35.625237 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-01T19:35:57.928119 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-01T19:37:52.379924 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-01T19:40:02.936842 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-01T19:50:13.230833 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-01T19:50:28.183095 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-01T19:51:17.648859 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T16:58:44.266846 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T16:59:16.358478 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T17:54:30.868753 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T17:58:17.655983 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T17:58:20.614438 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T17:58:21.430125 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T17:58:22.446270 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T17:58:23.198222 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T18:02:17.666255 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T18:18:52.020487 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T18:22:37.185388 127.0.0.1 [Steve Jobs] [] [] [] DELETE
2015-11-02T18:24:54.777223 127.0.0.1 [Steve Jobs] [] [] [] DELETE
